Date,Open,High,Low,Close,Adj_close
2015-01-01,14.7322,14.7322,14.7322,14.7322,14.7322
2015-01-02,14.7528,14.863,14.7528,14.7528,14.7528
2015-01-05,14.8436,14.9396,14.825,14.8436,14.8436
2015-01-06,14.9378,14.9897,14.818,14.9394,14.9394
2015-01-07,14.8947,14.9138,14.7493,14.8947,14.8947
2015-01-08,14.7096,14.7394,14.633,14.7102,14.7102
2015-01-09,14.659,14.7049,14.552,14.6617,14.6617
2015-01-12,14.5708,14.6733,14.5604,14.5708,14.5708
2015-01-13,14.649000000000001,14.6758,14.5394,14.648,14.648
2015-01-14,14.605,14.7064,14.552999999999999,14.604000000000001,14.604000000000001
2015-01-15,14.4855,14.577,14.4356,14.4852,14.4852
2015-01-16,14.6569,14.6963,14.6077,14.657,14.657
2015-01-19,14.5624,14.6691,14.5572,14.5573,14.5573
2015-01-20,14.6355,14.6687,14.5839,14.6355,14.6355
2015-01-21,14.6514,14.6707,14.5963,14.6504,14.6504
2015-01-22,14.758,14.7801,14.5925,14.758,14.758
2015-01-23,14.604000000000001,14.734000000000002,14.6026,14.6026,14.6026
2015-01-26,14.6807,14.6928,14.595999999999998,14.677999999999999,14.677999999999999
2015-01-27,14.5746,14.6374,14.56,14.5741,14.5741
2015-01-28,14.6171,14.683,14.6129,14.6177,14.6177
2015-01-29,14.727,14.8421,14.719000000000001,14.728,14.728
2015-01-30,14.779000000000002,15.0564,14.7591,14.785,14.785
2015-02-02,14.952,14.9811,14.8623,14.9515,14.9515
2015-02-03,14.8589,14.9045,14.7386,14.8589,14.8589
2015-02-04,14.675999999999998,14.8035,14.63,14.6759,14.6759
2015-02-05,14.8853,14.9133,14.7367,14.8815,14.8815
2015-02-06,14.7914,14.892999999999999,14.7278,14.7917,14.7917
2015-02-09,14.8501,14.8674,14.779000000000002,14.8501,14.8501
2015-02-10,14.8112,14.9511,14.7899,14.8097,14.8097
2015-02-11,14.9463,15.1475,14.923,14.9459,14.9459
2015-02-12,15.0774,15.0921,14.923,15.069,15.069
2015-02-13,14.92,15.001,14.837,14.923,14.923
2015-02-16,14.8967,14.9208,14.8509,14.9011,14.9011
2015-02-17,14.9176,14.9279,14.8165,14.9151,14.9151
2015-02-18,14.9157,14.968,14.8993,14.909,14.909
2015-02-19,14.8631,14.9879,14.857999999999999,14.860999999999999,14.860999999999999
2015-02-20,14.999,15.099,14.9618,15.0001,15.0001
2015-02-23,15.0406,15.1311,15.0405,15.0406,15.0406
2015-02-24,15.0914,15.1483,14.9661,15.0927,15.0927
2015-02-25,14.9298,14.9416,14.8731,14.922,14.922
2015-02-26,14.9358,15.0166,14.8188,14.9319,14.9319
2015-02-27,14.9867,15.0381,14.9525,14.9833,14.9833
2015-03-02,14.9406,14.9962,14.925999999999998,14.9406,14.9406
2015-03-03,15.023,15.0486,14.9597,15.022,15.022
2015-03-04,14.982000000000001,15.1126,14.975999999999999,14.9836,14.9836
2015-03-05,15.0462,15.1329,15.0275,15.0464,15.0464
2015-03-06,15.1868,15.4747,15.1711,15.1861,15.1861
2015-03-09,15.4594,15.5255,15.405,15.4613,15.4613
2015-03-10,15.4914,15.6227,15.482999999999999,15.4914,15.4914
2015-03-11,15.6144,15.6659,15.4413,15.6144,15.6144
2015-03-12,15.4757,15.4921,15.3469,15.4767,15.4767
2015-03-13,15.3863,15.5594,15.3858,15.3862,15.3862
2015-03-16,15.4856,15.5176,15.4035,15.4848,15.4848
2015-03-17,15.407,15.444,15.388,15.407,15.407
2015-03-18,15.383,15.4416,15.364,15.3829,15.3829
2015-03-19,15.1139,15.3429,15.0784,15.1136,15.1136
